Final Code	Item Name	UOM		HSN CODE	NEW ITEM DISRIPTION
PMLUL80500N	PERMANENT MAGNETIC LIFTER (1:3.5T) 100 KG-90X65X85 MM	NOS		85051900	CAT. NO UL80500 PERMANENT MAGNETIC LIFTER (1:3.5T) 100 KG-90X65X85 MM
PMLUL80501N	PERMANENT MAGNETIC LIFTER (1:3.5T) 200 KG-170X85X105 MM	NOS		85051900	CAT. NO UL80501 PERMANENT MAGNETIC LIFTER (1:3.5T) 200 KG-170X85X105 MM
PMLUL80502N	PERMANENT MAGNETIC LIFTER (1:3.5T) 250 KG-170X85X105 MM	NOS		85051900	CAT. NO UL80502 PERMANENT MAGNETIC LIFTER (1:3.5T) 250 KG-170X85X105 MM
PMLUL80503N	PERMANENT MAGNETIC LIFTER (1:3.5T) 300 KG-230X85X105 MM	NOS		85051900	CAT. NO UL80503 PERMANENT MAGNETIC LIFTER (1:3.5T) 300 KG-230X85X105 MM
PMLUL80504N	PERMANENT MAGNETIC LIFTER (1:3.5T) 450 KG-230X85X105 MM	NOS		85051900	CAT. NO UL80504 PERMANENT MAGNETIC LIFTER (1:3.5T) 450 KG-230X85X105 MM
PMLUL80505N	PERMANENT MAGNETIC LIFTER (1:3.5T) 600 KG-255X110X130 MM	NOS		85051900	CAT. NO UL80505 PERMANENT MAGNETIC LIFTER (1:3.5T) 600 KG-255X110X130 MM
PMLUL80506N	PERMANENT MAGNETIC LIFTER (1:3.5T) 700 KG-290X110X130 MM	NOS		85051900	CAT. NO UL80506 PERMANENT MAGNETIC LIFTER (1:3.5T) 700 KG-290X110X130 MM
PMLUL80507N	PERMANENT MAGNETIC LIFTER (1:3.5T) 1000 KG-350X130X135 MM	NOS		85051900	CAT. NO UL80507 PERMANENT MAGNETIC LIFTER (1:3.5T) 1000 KG-350X130X135 MM
PMLUL80508N	PERMANENT MAGNETIC LIFTER (1:3.5T) 1500 KG-395X150X160 MM	NOS		85051900	CAT. NO UL80508 PERMANENT MAGNETIC LIFTER (1:3.5T) 1500 KG-395X150X160 MM
PMLUL80509N	PERMANENT MAGNETIC LIFTER (1:3.5T) 2000 KG-460X170X185 MM	NOS		85051900	CAT. NO UL80509 PERMANENT MAGNETIC LIFTER (1:3.5T) 2000 KG-460X170X185 MM
PMLUL80512N	PERMANENT MAGNETIC LIFTER (1:3.5T)-260X85X105	NOS		85051900	CAT. NO UL80512 PERMANENT MAGNETIC LIFTER (1:3.5T)-260X85X105
PMLUL80500S	PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-100 KG-100X75X95	NOS		85051900	CAT. NO UL805SPL-100 PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-100 KG-100X75X95
PMLUL80500R	PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-100 KG	NOS		85051900	CAT. NO UL805SPL-100 ROUND PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-100 KG
PMLUL80507S	PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-1000 KG	NOS		85051900	CAT. NO UL805SPL-1000 PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-1000 KG
PMLUL80507R	PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-1000 KG	NOS		85051900	CAT. NO UL805SPL-1000(ROUND) PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-1000 KG
PMLUL80501S	PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-200 KG	NOS		85051900	CAT. NO UL805SPL-150/200 PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-200 KG
PMLUL80501R	PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-200 KG	NOS		85051900	CAT. NO UL805SPL-200(ROUND) PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-200 KG
PMLUL80503S	PERMANENT MAGNETIC LIFTER FOR HORIZONTAL & VERTICAL LIFTING (1:3T)-230X85X105 MM	NOS		85051900	CAT. NO UL805SPL-230X85X105 PERMANENT MAGNETIC LIFTER FOR HORIZONTAL & VERTICAL LIFTING (1:3T)-230X85X105 MM
PMLUL80504S	PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-450 KG	NOS		85051900	CAT. NO UL805SPL-450 PERMANENT MAGNETIC LIFTER FOR RIGHT ANGLE HOLDING MAX-450 KG
PMLUL80512R	PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-500 KG	NOS		85051900	CAT. NO UL805SPL-500(ROUND) PERMANENT MAGNETIC LIFTER FOR ROUND JOB MAX-500 KG
EMDUL80101	PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X100	NOS		85051900	CAT. NO UL80101 PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X100
EMDUL80102	PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X150	NOS		85051900	CAT. NO UL80102 PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X150
EMDUL80103	PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X225	NOS		85051900	CAT. NO UL80103 PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X225
EMDUL80104	PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X300	NOS		85051900	CAT. NO UL80104 PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-150X300
EMDUL80105	PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-350X350	NOS		85051900	CAT. NO UL80105 PLATE TYPE DEMAGNETISER (NOT A CONTINOUS DUTY TYPE)-350X350
EMDUL80106	PLATE TYPE DEMAGNETISER-300X295X140	NOS		85051900	CAT. NO UL801SPL-300X295 PLATE TYPE DEMAGNETISER-300X295X140
EMDUL80304	MINI DEMAGNETISER WITH HANDLE-150X100	NOS		85051900	CAT. NO UL80304 MINI DEMAGNETISER WITH HANDLE-150X100
EMDUL80305	MINI DEMAGNETISER WITH HANDLE-150X150	NOS		85051900	CAT. NO UL80305 MINI DEMAGNETISER WITH HANDLE-150X150
EMDUL80201	COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID100	NOS		85051900	CAT. NO UL80201 COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID100
EMDUL80202	COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID150, 420X420	NOS		85051900	CAT. NO UL80202 COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID150, 420X420
EMDUL80203	COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID200	NOS		85051900	CAT. NO UL80203 COIL TYPE DEMAGNETISER (NOT A CONTINUOUS DUTY TYPE)-ID200
